Cluster 1,Cluster 2,Cluster 3
0,50,70
4,52,127
7,76,123
9,54,72
1,58,133
2,65,83
3,51,101
6,56,113
11,85,121
17,75,142
10,74,149
5,61,138
16,71,126
19,82,146
21,67,111
26,69,103
23,53,116
31,80,128
20,81,104
27,79,124
28,89,112
35,59,120
12,92,139
25,66,141
29,84,145
24,96,115
30,88,110
34,95,147
39,99,137
37,78,136
40,63,148
49,73,140
45,91,143
47,90,144
8,86,132
13,77,100
38,57,102
42,93,105
46,60,122
32,98,107
33,62,130
15,64,108
44,68,109
48,87,114
36,106,117
43,119,118
18,131,125
14,134,129
22,135,131
41,,134
